OptimiazationAlgorithm,TestFunction,NumberOfSearchedParameters,T,N,FoundMinimum,StandardDeviationOfFoundMinimum,ObjectiveFunctionValue,StandardDeviationOfObjectiveFunctionValue,NumberOfObjectiveFunctionCalls
Snake Optimization,Sphere function,3,20,20,"(9,496132800380893E-05; -0,00020024412893897357; 0,00026901509485663757)","(0,00404474389363649; 0,007892293611091082; 0,005438197806943281)",0.00000,0.00021,420
Snake Optimization,Sphere function,3,20,40,"(1,5815209989943897E-05; -8,196334077598729E-05; -7,146795799166665E-06)","(0,0009171952495750574; 0,0005104851823238599; 0,0006368790364362493)",0.00000,0.00000,840
Snake Optimization,Sphere function,3,20,60,"(-3,60603381970244E-05; 4,5171396990533076E-05; -1,9247070703591894E-05)","(0,0003293649560371704; 0,00047907782885781166; 0,00020593317044825379)",0.00000,0.00000,1260
Snake Optimization,Sphere function,3,40,20,"(-2,186559053393939E-07; 1,3423312610288382E-08; -2,3213965414097246E-08)","(8,075804971476201E-06; 8,694776048728324E-06; 1,2649601520607603E-05)",0.00000,0.00000,820
Snake Optimization,Sphere function,3,40,40,"(-7,554852739413629E-09; 7,330537418009227E-08; -2,644360597606445E-09)","(1,4159030102034836E-06; 1,8945987183003274E-06; 1,1700988708114834E-06)",0.00000,0.00000,1640
Snake Optimization,Sphere function,3,40,60,"(-2,0009991011061475E-08; -1,6685625065538821E-09; 1,1059651152962476E-09)","(1,7820561482183015E-07; 1,7098019337234253E-07; 1,8492568684507434E-07)",0.00000,0.00000,2460
