OptimiazationAlgorithm,TestFunction,NumberOfSearchedParameters,T,N,FoundMinimum,StandardDeviationOfFoundMinimum,ObjectiveFunctionValue,StandardDeviationOfObjectiveFunctionValue,NumberOfObjectiveFunctionCalls
Snake Optimization,Sphere function,3,20,20,"(-0,00010540769176452843; -8,032047133682443E-05; 0,0005828914148538625)","(0,001621152126173555; 0,0018197117774330902; 0,0014604272437246154)",0.00000,0.00001,420
Snake Optimization,Sphere function,3,20,40,"(1,3741252017722666E-06; 7,664096642002723E-05; -0,0001262302001306496)","(0,002390772901376906; 0,0013391054675338072; 0,0006809458234737511)",0.00000,0.00002,840
Snake Optimization,Sphere function,3,20,60,"(-1,0974781866478893E-05; -4,265651334580928E-05; 5,157761442010239E-06)","(0,00035929603346342875; 0,00020343104899289187; 0,0004448384214770758)",0.00000,0.00000,1260
Snake Optimization,Sphere function,3,40,20,"(-9,118745074938866E-08; -1,1033679178944843E-07; 5,778051145147068E-08)","(1,883029503480802E-06; 1,043454345810021E-06; 3,4164872505895416E-06)",0.00000,0.00000,820
Snake Optimization,Sphere function,3,40,40,"(-7,56680894602215E-09; -1,935435722590127E-08; -3,427273014493052E-08)","(1,228129834118382E-06; 1,3873405262585565E-06; 2,48814676358954E-06)",0.00000,0.00000,1640
Snake Optimization,Sphere function,3,40,60,"(8,80598010819394E-10; 1,3443750235013395E-08; -1,7649391813671202E-08)","(1,1880823994627799E-07; 2,1014121800376654E-07; 7,057835573565017E-08)",0.00000,0.00000,2460
